,Wine,Description,Vintage,Price,Score,Model Rating
0,Tenuta San Guido Bolgheri-Sassicaia Sassicaia-,"Rich and concentrated, this red features black currant, blackberry, violet, mineral and spice flavors. Dense yet lively, structured yet impeccably balanced, with vibrant acidity driving the long, fruit-filled aftertaste. The oak is beautifully integrated. Cabernet Sauvignon and Cabernet Franc. Best from 2023 through 2042. 17,200 cases made. —BS",2015,$245 ,97.0,3
1,Château Canon-La Gaffelière St.-Emilion-,"Still youthfully tight and backward, with a well-roasted frame of alder and juniper holding sway for now, but the core of cassis, blackberry and plum fruit waits in reserve, showing prodigious depth. When the toast and fruit melds, the backdrop of tobacco, singed iron and chalky minerality will get a turn to show. There's a lot here. Built for the cellar. Merlot, Cabernet Franc and Cabernet Sauvignon. Best from 2025 through 2040. 6,250 cases made. —JM",2015,$84 ,96.0,3
2,Castello di Volpaia Chianti Classico Riserva-,"Though saturated with black currant and blackberry fruit and backed by opaque tannins, this red is pure and balanced. Thyme, iron, leather and tar notes give this complexity, while the finish goes into overtime. Best from 2023 through 2040. 2,500 cases imported. —BS",2015,$35 ,96.0,3
3,La Rioja Alta Rioja 890 Gran Reserva Selección Especial-,"Cedar and sandalwood aromas give way to flavors of tea, tobacco, dried cherry, forest floor and orange peel in this expressive red. Round on the palate, supported by muscular tannins and juicy acidity. Big but graceful, mature yet lively, in the traditional style. Drink now through 2030. 4,753 cases made. —TM",2005,$175 ,95.0,3
4,Moët & Chandon Brut Champagne Dom Pérignon Legacy Edition-,"There's power to this graceful Champagne, with the vivid acidity swathed in a fine, creamy mousse and flavors of toasted brioche, kumquat, pastry cream, candied ginger and poached plum that dance across the palate. An underpinning of smoky mineral gains momentum on the lasting finish. Drink now through 2033. —AN",2008,$180 ,96.0,3
5,Aubert Chardonnay Carneros Larry Hyde & Sons-,"Voluptuous and creamy, with densely packed flavors of apple pastry, pear tart and peach and hints of mango that are long and rich. The plush, complex finish is filled with notes of spice and dried herbs. Drink now through 2026. 960 cases made. —KM",2016,$85 ,96.0,3
6,Colene Clemens Pinot Noir Chehalem Mountains Dopp Creek-,"Impressive for the polished texture and elegant complexity, offering vibrant raspberry, orange peel and spice flavors that gain momentum toward refined tannins. Drink now through 2023. 3,023 cases made. —TF",2015,$26 ,95.0,3
7,Le Vieux Donjon Châteauneuf-du-Pape-,"This offers a blitz of bay leaf and juniper notes out front, followed by a racy and tightly coiled core of red and black currant, damson plum and cherry fruit flavors. Lots of brisk iron and garrigue accents rifle through the finish. Clear, precise and streamlined, this should age wonderfully. Best from 2020 through 2040. 7,000 cases made. —JM",2016,$70 ,95.0,3
8,Tenuta delle Terre Nere Etna San Lorenzo-,"Ripe black cherry and raspberry fruit meets tarry mineral and accents of licorice, spiced orange peel and herb in this chewy, medium-bodied red. The bold flavor and structure are deftly knit into a graceful and harmonious package, with the spice and mineral character lingering on the finish. Best from 2020 through 2030. 750 cases made. —AN",2016,$60 ,95.0,3
9,Bedrock The Bedrock Heritage Sonoma Valley-,"A knockout red, focused and well-built but loaded with personality, with expressive blackberry and dark Asian spice notes leading to intense yet refined smoky plum, orange zest and cracked pepper flavors. Zinfandel, Carignane, Mataro, Syrah and Alicante Bouschet. Drink now through 2027. 600 cases made. —TF",2016,$46 ,95.0,3
10,Carpineto Vino Nobile di Montepulciano Riserva-,"The stunning bouquet of ripe black cherry, black currant, leather and woodsy spice notes is enticing, while the sweet fruit is a match for the dense structure. The lengthy finish lingers, with tobacco, eucalyptus and iron accents. Drink now through 2030. 12,200 cases made. —BS",2013,$30 ,95.0,3
11,Felton Road Pinot Noir Central Otago Bannockburn-,"Elegant, fresh and vibrant, this red starts off wonderfully perfumed, with lavender, white pepper and green tea notes that accentuate the purity of the cherry and raspberry flavors. Polished tannins still provide some grip on the finish, where white truffle and forest floor details linger. Drink now through 2032. 7,120 cases made. —MW",2017,$50 ,96.0,3
12,Produttori del Barbaresco Barbaresco Rabajà Riserva-,"This fruity version features floral, cherry and plum flavors, along with savory leather, licorice and tobacco notes. A chewy texture and lively acidity keep this well-defined through the long finish. Complex and classy. Best from 2023 through 2038. 1,420 cases made. —BS",2013,$66 ,96.0,3
13,Warre Vintage Port-,"Gorgeous, with warm plum reduction and gently steeped raspberry, blackberry and boysenberry fruit flavors forming the core, all inlaid with warm ganache and smoldering tobacco accents. Very plush in feel, but has no lack of energy, as everything sails beautifully through the long finish. A late echo of anise completes the seduction. Best from 2035 through 2055. 3,000 cases made. —JM",2016,$98 ,98.0,3
14,Canalicchio di Sopra Brunello di Montalcino-,"Plump and bursting with cherry, strawberry and mineral aromas and flavors, this racy red evokes harmony and freshness, with hints of spice, chocolate and tobacco as it plays out gracefully on the long aftertaste. There's structure here, with all the components integrated. Best from 2020 through 2035. 2,870 cases made. —BS",2013,$79 ,97.0,3
15,Château Monbousquet St.-Emilion-,"A rich, expressive, slightly showy style, with waves of cassis, creamed raspberry and boysenberry fruit racing forth, backed by a polished yet ample structure. The long, licorice- and ganache-framed finish packs on weight as it moves along, yet stays defined and pure. Impressive. Best from 2022 through 2040. 9,333 cases made. —JM",2015,$53 ,95.0,3
16,Caparzo Brunello di Montalcino-,"This cuts more of a broad swath than its peers, yet remains graceful, evoking strawberry, cherry, tobacco and stony mineral flavors. Long and dense in structure, with a tobacco- and underbrush-tinged finish. Best from 2021 through 2033. 15,000 cases made. —BS",2013,$45 ,95.0,3
17,Château de Beaucastel Châteauneuf-du-Pape-,"A stunner from the get-go, with waves of thoroughly seductive boysenberry, plum, blueberry and raspberry reduction forming the core, while roasted apple wood, rooibos tea, bergamot, and anise notes flash throughout. This has plenty of bass, with a Turkish coffee accent and a hint of alder driving underneath. Everything moves in lockstep through the seriously long finish. Best from 2020 through 2045. 12,500 cases made. —JM",2015,$99 ,97.0,3
18,San Felice Chianti Classico-,"Expressive and smooth, this hits all the right notes, with pure black cherry, black currant and violet flavors. Touches of earth, iron and tobacco add complexity. Shows fine harmony and length. Best from 2020 through 2036. 25,000 cases made. —BS",2016,$17 ,94.0,3
19,Jasper Hill Shiraz Heathcote Georgia's Paddock-,"Fragrant notes of dried rose petal and white truffle indicate something special. Inside, this offers a fleshy, velvety mix of toasted rye bread, spicy plum jam and framboise flavors. Elegant and plush, but with plenty of power within, flexing on the expressive, expansive finish that goes on and on. Drink now through 2035. 1,500 cases made. —MW",2015,$85 ,95.0,3
20,Scott Base Pinot Noir Central Otago-,"Smooth, silky raspberry coulis and maraschino cherry notes are impressive for their purity, with accents of white chocolate, thyme, red licorice and cedar. Spicy cigar box accents emerge on the long, expressive and detailed finish. Drink now through 2028. 5,000 cases made. —MW",2016,$18 ,93.0,3
