Rank,Wine,Vintage,Score,Price,
1,Duckhorn Merlot Napa Valley Three Palms Vineyard-,2014,95,$98 ,
,"A powerful red, with concentrated flavors of red plum, cherry and boysenberry that are layered with plenty of rich spice and mineral accents. Touches of slate and cardamom make for a complex finish. Drink now through 2023. 3,170 cases made. —KM",,,,
2,K Syrah Walla Walla Valley Powerline Estate-,2014,95,$45 ,
,"A knockout Syrah, precise and impeccably built but explosive with personality. Smoky roasted meat and floral blackberry aromas combine with bold, supple flavors of dark plum, pepper and licorice. The tannins are big but polished. Drink now through 2024. 1,319 cases made. —TF",,,,
3,Château Coutet Barsac-,2014,96,$37 ,
,"This shows the vivid, racy side of Barsac, with streaming flavors of pineapple, yellow apple, green plum and white ginger, displaying lovely energy from start to finish. Ends with enough honeysuckle and orange blossom notes to balance the richness. Best from 2020 through 2035. 4,000 cases made. —JM",,,,
4,Casanova di Neri Brunello di Montalcino-,2012,95,$65 ,
,"Effusive aromas and flavors of raspberry, cherry, floral, mineral and tobacco are at the center of this linear, vibrant red. Well-structured, this offers terrific length on the sinewy finish. Best from 2020 through 2035. 6,054 cases made. —BS",,,,
5,Château de St.-Cosme Gigondas-,2015,95,$43 ,
,"A textbook version of the brawny side of Gigondas, this offers a grippy alder bass line underneath layers of dark currant and fig fruit, while lots of tobacco, rosemary and bay leaf fill in throughout. Muscular and energetic, this is built for the cellar. Best from 2019 through 2030. 4,000 cases made. —JM",,,,
6,Domaine Huët Vouvray Demi-Sec Le Mont-,2016,95,$44 ,
,"This tilts toward the flattering side of off-dry, showing a plump feel to the core of creamed pear, white peach and yellow apple fruit. Lovely verbena, honeysuckle and mineral accents keep this balanced and driven, with a long finish that lets the fruit echo. Drink now through 2032. 2,000 cases made. —JM",,,,
7,Château Canon-La Gaffelière St.-Emilion-,2014,95,$61 ,
,"This cuts a wide swath, with mouthwatering tobacco and warm ganache notes leading the way, followed by a wave of fig, blackberry and black currant preserves. Shows remarkable definition already, even though the structure is strident. Tempting now, but just put this in the back of the cellar. Best from 2020 through 2035. 4,083 cases made. —JM",,,,
8,Meyer Cabernet Sauvignon Napa Valley-,2014,95,$70 ,
,"Strikingly complex and detailed, with supple, harmonious blackberry, currant, anise, licorice and crushed rock flavors. Gains depth while holding focus and persistence. Drink now through 2032. 1,200 cases made. —JL",,,,
9,Pahlmeyer Chardonnay Napa Valley-,2015,95,$75 ,
,"This offers a gorgeous mouthful of rich, buttery Chardonnay, loaded with exotic tropical fruit, pear, melon and pineapple flavors. Impressive for its opulence and silkiness, a nice combination. Drink now through 2022. 2,500 cases made. —JL",,,,
10,Booker Oublié Paso Robles-,2014,95,$80 ,
,"Expressive and impressively structured, with savory blackberry aromas and accents of rosemary, thyme and crushed stone, opening to complex, densely layered flavors of currant, pepper and espresso. Grenache, Mourvèdre and Counoise. Best from 2018 through 2028. 1,500 cases made. —TF",,,,
11,Altesino Brunello di Montalcino Our 40th Harvest-,2012,96,$65 ,
,"Cherry, leather and iron notes mark this suave, elegant red. A bit reticent now, but the fruit is fresh and long on the finish. The dense tannins leave a mouthcoating impression, but this opens up beautifully over a few hours. Best from 2021 through 2035. 10,000 cases made. —BS",,,,
12,Bedrock Zinfandel California Old Vine-,2015,93,$25 ,
,"Rich and supple, this is an explosion of pure, decadent fruit. Floral huckleberry and Chinese five-spice powder aromas open to layered blackberry, dark chocolate and licorice flavors that linger. Drink now through 2026. 4,500 cases made. —TF",,,,
13,Sixto Chardonnay Washington Uncovered-,2014,94,$35 ,
,"Dynamic, yet sleek and refined, driven by a core of minerally acidity that meshes with the delicately complex apple, Meyer lemon and spicy yeast accents that linger long on the finish. Drink now through 2021. 1,835 cases made. —TF",,,,
14,Clos des Papes Châteauneuf-du-Pape-,2015,98,$109 ,
,"This offers a drop-dead gorgeous core of cassis and raspberry pâte de fruit flavors that hold center stage but still allow notes of Lapsang souchong tea, anise, incense and shiso leaf to chime in. Very long, with a sublime feel through the mineral-tinged finish. So seductive already, but this should cruise in the cellar. Drink now through 2040. 6,000 cases made. —JM",,,,
15,Domaine des Baumard Savennières-,2015,94,$30 ,
